Date,Description,Withdrawals,Deposits,Balance,Category
10/30/17,DEBIT CARD PURCHASE   XXXXX9460 SUBWAY        03470572    RICHMOND    VA,$5.34 ,,"$2,674.46 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX1923 CKE*THE PIT AND THE  1    RICHMOND    VA,$10.02 ,,"$2,679.80 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX1923 SMOOTHIE KING #446        RICHMOND    VA,$1.04 ,,"$2,689.82 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX1923 SMOOTHIE KING #446        RICHMOND    VA,$5.55 ,,"$2,690.86 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX9460 JASON'S DELI VRS #        RICHMOND    VA,$2.21 ,,"$2,696.41 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX9460 JASON'S DELI VRS #        RICHMOND    VA,$21.66 ,,"$2,698.62 ",
10/30/17,DEBIT CARD PURCHASE   XXXXX9460 SOUTHERN RAILWAY TAPHO    XXXXX8350 VA,$3.00 ,,"$2,720.28 ",
10/30/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$40.00 ,"$2,723.28 ",Bank Transfer
10/30/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$28.00 ,"$2,683.28 ",Bank Transfer
10/27/17,DEBIT CARD PURCHASE   XXXXX1923 PICCOLA ITALY PIZZA AN    RICHMOND    VA,$3.19 ,,"$2,655.28 ",
10/27/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$10.46 ,"$2,658.47 ",Bank Transfer
10/27/17,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,586.49 ","$2,648.01 ",Transportation / Travel
10/26/17,POS PURCHASE          POS47797501  1188066 FARM FRESH               RICHMOND     VA,$49.34 ,,$61.52 ,
10/26/17,DEBIT CARD PURCHASE   XXXXX9460 JIMMY JOHNS - 1741        RICHMOND    VA,$5.84 ,,$110.86 ,
10/25/17,POS PURCHASE          POS00N0U301  1142465 7-ELEVEN                 RICHMOND     VA,$2.04 ,,$116.70 ,
10/25/17,POS PURCHASE          POS00002SGR  1142466 LIFEWAY CHRIST           GLEN ALLEN   VA,$35.78 ,,$118.74 ,
10/25/17,DEBIT CARD PURCHASE   XXXXX1923 COPY CAT PRINTING 2       RICHMOND    VA,$10.00 ,,$154.52 ,
10/25/17,DEBIT CARD PURCHASE   XXXXX9460 MOM`S SIAM 2              RICHMOND    VA,$4.00 ,,$164.52 ,
10/25/17,ACH CREDIT      5P5J2AAG2455S PAYPAL           TRANSFER,,$28.76 ,$168.52 ,
10/24/17,POS PURCHASE          POS040       1098428 MICHAELS STORE           GLEN ALLEN   VA,$29.43 ,,$139.76 ,
10/24/17,POS PURCHASE          POS09126387  1098426 PAPER SOURCE C           RICHMOND     VA,$7.32 ,,$169.19 ,
10/24/17,POS PURCHASE          POSLK301626  1098427 THE FRESH MARK           RICHMOND     VA,$21.32 ,,$176.51 ,
10/24/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$1.00 ,$197.83 ,Bank Transfer
10/24/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$4.00 ,$196.83 ,Bank Transfer
10/23/17,DEBIT CARD PURCHASE   XXXXX9460 SWEET FROG 106201         RICHMOND    VA,$7.24 ,,$192.83 ,
10/23/17,DEBIT CARD PURCHASE   XXXXX9460 MARY ANGELAS PIZZERIA     RICHMOND    VA,$17.19 ,,$200.07 ,
10/23/17,ONLINE TRANSFER TO        XXXXX5146 ,$596.23 ,,$217.26 ,Bank Transfer
10/23/17,DEBIT CARD PURCHASE   XXXXX9460 JIMMY JOHNS - 2555        RICHMOND    VA,$17.47 ,,$813.49 ,
