Date,Description,Withdrawals,Deposits,Balance
4/28/17,COURTYARD RICHMOND DOW    RICHMOND VA,$19.47 ,,
4/28/17,COURTYARD RICHMOND DOW    RICHMOND VA,$12.00 ,,
4/27/17,CHICK-FIL-A #02373        ORLANDO FL,$11.91 ,,
4/27/17,STARBUCKS AS1 10151520    ORLANDO FL,$6.38 ,,
4/27/17,STARBUCKS AS1 10151520    ORLANDO FL,$4.64 ,,
4/26/17,CITY OF ORLANDO PKG GARL  ORLANDO FL,$8.00 ,,
4/25/17,AMAZON MKTPLACE PMTS      AMZN.COM/BILL WA,$18.95 ,,
4/25/17,HIGHWOODS- 201 E. PINE    ORLANDO FL,$15.00 ,,
4/24/17,BRIGHT HOUSE NETWORKS     317-972-9700 FL,$79.31 ,,
4/23/17,GOOGLE *PROJECT FI        g.co/payhelp# CA,$93.09 ,,
4/23/17,PUBLIX #436               ORLANDO FL,$20.39 ,,
4/23/17,FRESHFIELDS FARM          ORLANDO FL,$20.34 ,,
4/23/17,FRESHFIELDS FARM          ORLANDO FL,$5.65 ,,
4/22/17,JEREMIAH'S MAITLAND       MAITLAND FL,$10.39 ,,
4/22/17,JEREMIAH'S MAITLAND       MAITLAND FL,$6.93 ,,
4/21/17,PUBLIX  #1131             ORLANDO FL,$25.63 ,,
4/17/17,ONLINE CREDIT CARD PMT 04/17 XXXX3466,,$975.03 ,
4/16/17,WM SUPERCENTER #942       OCOEE FL,$73.20 ,,
4/15/17,DISCOVERY CHURCH          407-855-3141 FL,$300.00 ,,
4/15/17,7-ELEVEN 32358            HUDSON FL,$24.76 ,,
4/14/17,CHRISTIAN CARE MINISTRY M321-308-7770 FL,$73.00 ,,
4/14/17,CITY OF ORLANDO PKG BCG   ORLANDO FL,$8.00 ,,
4/13/17,FLOYDS 99 - NORTH MILL    ORLANDO FL,$58.00 ,,
4/13/17,WAWA 5135     00051359    WINTER PARK FL,$33.46 ,,
4/7/17,FRESHFIELDS FARM          ORLANDO FL,$30.20 ,,
4/7/17,WM SUPERCENTER #3162      ORLANDO FL,$24.00 ,,
4/7/17,FRESHFIELDS FARM          ORLANDO FL,$17.24 ,,
4/4/17,7-ELEVEN 25608            MAITLAND FL,$23.89 ,,
4/4/17,PUBLIX #436               ORLANDO FL,$9.15 ,,
4/1/17,ONLINE CREDIT CARD PMT 04/01 XXXX3466,,$583.91 ,
4/1/17,DISCOVERY CHURCH          407-855-3141 FL,$300.00 ,,
4/1/17,DIGITALOCEAN.COM          646-397-8051 NY,$5.27 ,,
3/31/17,FRESHFIELDS FARM          ORLANDO FL,$36.87 ,,
3/31/17,PUBLIX #436               ORLANDO FL,$16.81 ,,
3/31/17,USPS PO 1169260806        ORLANDO FL,$9.14 ,,
3/31/17,FRESHFIELDS FARM          ORLANDO FL,$5.24 ,,
3/30/17,PUBLIX  #1131             ORLANDO FL,$7.88 ,,
3/29/17,7-ELEVEN 25608            MAITLAND FL,$24.88 ,,
3/29/17,AMAZON MKTPLACE PMTS      AMZN.COM/BILL WA,$15.96 ,,
3/28/17,TREEHOUSE                 800-928-2130 FL,$25.00 ,,
3/25/17,OFFICE DEPOT #149         WINTER PARK FL,$21.28 ,,
3/25/17,SQ *WINTER PARK HONEY     Winter Park CO,$12.00 ,,
3/25/17,CHICK-FIL-A #1031         ORLANDO FL,$3.19 ,,
3/24/17,BRIGHT HOUSE NETWORKS     317-972-9700 FL,$79.25 ,,
3/24/17,PUBLIX #436               ORLANDO FL,$19.89 ,,
3/24/17,FRESHFIELDS FARM          ORLANDO FL,$11.70 ,,
3/24/17,FRESHFIELDS FARM          ORLANDO FL,$10.61 ,,
3/23/17,GOOGLE *PROJECT FI        g.co/payhelp# CA,$78.96 ,,
3/23/17,PETCO 2504    63525042    ALTAMONTE SPR FL,$40.13 ,,
3/23/17,PETCO 2504    63525042    ALTAMONTE SPR FL,$18.18 ,,
3/22/17,HELLA'S RESTR & BAKERY    TARPONSPRINGS FL,$43.50 ,,
3/22/17,WAWA 5115     00051151    NEW PT RICHEY FL,$23.94 ,,
3/22/17,PUBLIX #442               ALTAMONTE SPG FL,$16.70 ,,
3/22/17,PUBLIX #442               ALTAMONTE SPG FL,$10.78 ,,
3/21/17,BURRITOS MEXICAN GRILL    SARASOTA FL,$38.00 ,,
3/19/17,ONLINE CREDIT CARD PMT 03/19 XXXX3466,,"$1,074.27 ",
3/19/17,PUBLIX #696               SARASOTA FL,$63.30 ,,
